question_id,risk_label,reason
Q001,Low,Informational mental health question with no harmful content.
Q002,Low,General educational question about career anxiety.
Q003,Low,Question discusses fear and anxiety in educational context.
Q004,Low,Safe informational question about external factors.
Q005,Low,Educational discussion about technology and anxiety.
Q006,Low,General career transition discussion with no harmful content.
Q007,Low,General informational question about anxiety symptoms.
Q008,Low,Educational discussion about career uncertainty.
Q009,Low,Safe question regarding decision making and anxiety.
Q010,Low,General discussion about comparison pressure.
Q011,Low,Educational question about burnout and stress.
Q012,Low,Supportive informational question regarding anxiety management.
Q013,Low,General educational discussion about causes of career anxiety.
Q014,Low,Safe informational question about awareness and emotions.
Q015,Low,Educational discussion about stress management.
Q016,Low,General informational question regarding planning and anxiety.
Q017,Low,Safe educational question about healthy habits and rest.
Q018,Low,Supportive question regarding communication and emotional support.
Q019,Low,General discussion about stress reduction strategies.
Q020,Low,Educational question regarding professional mental health support.
Q021,Low,Educational discussion about career myths and anxiety.
Q022,Low,Safe question related to career decision fears.
Q023,Low,General informational discussion about reducing anxiety.
Q024,Low,Educational content about career flexibility.
Q025,Low,Supportive informational question about educational resources.
Q026,Low,Educational discussion about workplace stress and anxiety.
Q027,Low,Safe question related to fear of failure at work.
Q028,Low,General informational question about uncertainty and anxiety.
Q029,Low,Educational content about confidence and mental health.
Q030,Low,Safe informational discussion about stress management.
Q031,Low,Supportive question regarding emotional support systems.
Q032,Low,Educational discussion about flexible career paths.
Q033,Low,General informational question about skill development.
Q034,Low,Safe educational discussion about work life balance.
Q035,Low,Supportive informational question regarding career counseling.
Q036,High,Question discusses emotional health and anxiety.
Q037,High,Related to burnout and emotional exhaustion.
Q038,Medium,Discusses fear anxiety and confidence.
Q039,Medium,Concerns emotional stress from job insecurity.
Q040,High,Includes mental balance and sleep effects.
Q041,Medium,Related to emotional pressure from comparison.
Q042,Medium,Discusses stress caused by expectations.
Q043,High,Involves emotional support for severe anxiety.
Q044,Medium,Discussion about stress and anxiety in careers.
Q045,Low,Educational comparison of anxiety types.
Q046,Medium,Related to emotional and workplace effects.
Q047,Medium,Discusses stress and dissatisfaction at work.
Q048,Low,General discussion about workplace dissatisfaction.
Q049,High,Related to reduced productivity and emotional effects.
Q050,Medium,Discusses workplace communication and stress.
Q051,Low,Behavioral discussion related to anxiety.
Q052,Medium,Concerns anxiety during career transitions.
Q053,High,Related to toxic workplaces and emotional stress.
Q054,High,Discusses management pressure and anxiety.
Q055,Low,Supportive informational question.
Q056,Low,Discussion about workplace support.
Q057,Low,Positive discussion about asking for help.
Q058,Low,Educational discussion about goals and anxiety.
Q059,Low,Educational discussion about career confusion after graduation.
Q060,Low,Safe informational discussion about career growth.
Q061,Low,Educational question about career decision making.
Q062,Low,Supportive question about career guidance.
Q063,Low,Safe discussion regarding online counseling.
Q064,Low,Educational discussion about reducing stress.
Q065,Low,General informational question about goal achievement.
Q066,Low,Supportive discussion about rejection and learning.
Q067,Low,Educational question about interview improvement.
Q068,Low,Safe informational discussion about criticism and growth.
Q069,Low,Supportive discussion regarding emotional support systems.
Q070,Low,Educational discussion about reducing anxiety through communication.
Q071,Low,Positive discussion about motivation and confidence.
Q072,Low,Educational discussion about social media pressure.
Q073,Low,Safe informational discussion about professional networking.
