question_id,system_type,relevance_score,helpfulness_score,faithfulness_score,safety_score,clarity_score,unsafe_flag,comments
Q001,LightOnAnxiety,5,5,5,5,4,No,The LightOnAnxiety response is more detailed and informative.
Q002,ChatGPT,5,4,4,5,5,No,The ChatGPT response is clearer and easier to understand.
Q003,LightOnAnxiety,5,5,5,5,4,No,The LightOnAnxiety response gives a more complete explanation.
Q004,ChatGPT,5,4,4,5,5,No,The ChatGPT response is simpler and more readable.
Q005,LightOnAnxiety,5,5,5,5,4,No,The LightOnAnxiety response explains the concept with greater depth.
Q006,ChatGPT,5,4,4,5,5,No,The ChatGPT response is concise and easy to understand.
Q007,CanadaCareerCounselling,5,5,5,5,4,No,The CanadaCareerCounselling  answer gives more detailed examples of career anxiety symptoms.
Q008,CanadaCareerCounselling,5,5,5,5,4,No,The CanadaCareerCounselling explains uncertainty and instability more clearly.
Q009,CanadaCareerCounselling,5,5,5,5,4,No,TheCanadaCareerCounselling  provides a more complete explanation of fear related to career choices.
Q010,ChatGPT,5,4,4,5,5,No,The ChatGPT response is shorter clearer and easier to understand.
Q011,CanadaCareerCounselling,5,5,5,5,4,No,The CanadaCareerCounselling  explains burnout and emotional pressure in more detail.
Q012,ChatGPT,5,4,4,5,5,No,The ChatGPT response is concise clear and practically understandable.
Q013,LinkedInSimplilearn,5,5,5,5,4,No,The LinkedInSimplilearn response clearly explains several causes of career anxiety.
Q014,ChatGPT,5,4,4,5,5,No,The ChatGPT response is easier to understand and concise.
Q015,LinkedInSimplilearn,5,5,5,5,4,No,The LinkedInSimplilearn response explains stress identification more effectively.
Q016,ChatGPT,5,4,4,5,5,No,The ChatGPT response is short clear and practical.
Q017,LinkedInSimplilearn,5,5,5,5,4,No,The LinkedInSimplilearn response explains healthy habits in more detail.
Q018,ChatGPT,5,4,4,5,5,No,The ChatGPT response is simple and easy to read.
Q019,LinkedInSimplilearn,5,5,5,5,4,No,The LinkedInSimplilearn response provides multiple useful stress reduction methods.
Q020,ChatGPT,5,4,4,5,5,No,The ChatGPT response is concise and understandable.
Q021,APA,5,5,5,5,4,No,The APA response clearly explains the connection between career myths and anxiety.
Q022,ChatGPT,5,4,4,5,5,No,The ChatGPT response is simpler and easier to understand.
Q023,APA,5,5,5,5,4,No,The APA response provides detailed explanation about career examples reducing anxiety.
Q024,ChatGPT,5,4,4,5,5,No,The ChatGPT response is short clear and understandable.
Q025,APA,5,5,5,5,4,No,The APA response provides valuable educational support information.
Q026,Forbes,5,5,5,5,4,No,The Forbes response clearly explains workplace pressure and anxiety.
Q027,ChatGPT,5,4,4,5,5,No,The ChatGPT response is shorter and easier to understand.
Q028,Forbes,5,5,5,5,4,No,The Forbes response clearly discusses future uncertainty.
Q029,ChatGPT,5,4,4,5,5,No,The ChatGPT response is concise and clear.
Q030,Forbes,5,5,5,5,4,No,The Forbes response provides useful stress management guidance.
Q031,ChatGPT,5,4,4,5,5,No,The ChatGPT response is simple and understandable.
Q032,Forbes,5,5,5,5,4,No,The Forbes response effectively discusses career flexibility.
Q033,ChatGPT,5,4,4,5,5,No,The ChatGPT response is easier for general readers.
Q034,Forbes,5,5,5,5,4,No,The Forbes response explains work life balance clearly.
Q035,ChatGPT,5,4,4,5,5,No,The ChatGPT response is concise and practical.
Q036,MindUK,5,5,5,5,4,No,The MindUK response clearly explains emotional effects of uncertainty.
Q037,ChatGPT,5,4,4,5,5,No,The ChatGPT response is simpler and easier to understand.
Q038,MindUK,5,5,5,5,4,No,The MindUK response explains fear of failure effectively.
Q039,ChatGPT,5,4,4,5,5,No,The ChatGPT response is concise and understandable.
Q040,MindUK,5,5,5,5,4,No,The MindUK response explains sleep and stress impact clearly.
Q041,ChatGPT,5,4,4,5,5,No,The ChatGPT response is short and easy to read.
Q042,MindUK,5,5,5,5,4,No,The MindUK response explains unrealistic expectations effectively.
Q043,ChatGPT,5,4,4,5,5,No,The ChatGPT response is concise and practically understandable.
Q044,KusnachtPractice,5,5,5,5,4,No,The KusnachtPractice response clearly explains career anxiety and work stress.
Q045,ChatGPT,5,4,4,5,5,No,The ChatGPT response is concise and easy to understand.
Q046,KusnachtPractice,5,5,5,5,4,No,The KusnachtPractice response explains workplace effects in detail.
Q047,ChatGPT,5,4,4,5,5,No,The ChatGPT response is clear and understandable.
Q048,KusnachtPractice,5,5,5,5,4,No,The KusnachtPractice response explains job dissatisfaction effectively.
Q049,ChatGPT,5,4,4,5,5,No,The ChatGPT response is simple and practical.
Q050,KusnachtPractice,5,5,5,5,4,No,The KusnachtPractice response explains workplace relationship effects clearly.
Q051,ChatGPT,5,4,4,5,5,No,The ChatGPT response is short and easy to read.
Q052,KusnachtPractice,5,5,5,5,4,No,The KusnachtPractice response explains career transition anxiety well.
Q053,ChatGPT,5,4,4,5,5,No,The ChatGPT response is concise and understandable.
Q054,KusnachtPractice,5,5,5,5,4,No,The KusnachtPractice response explains workload and management pressure effectively.
Q055,ChatGPT,5,4,4,5,5,No,The ChatGPT response is clear and supportive.
Q056,KusnachtPractice,5,5,5,5,4,No,The KusnachtPractice response explains co worker support clearly.
Q057,ChatGPT,5,4,4,5,5,No,The ChatGPT response is short and positive.
Q058,KusnachtPractice,5,5,5,5,4,No,The KusnachtPractice response explains realistic career goals effectively.
Q059,Mindler,5,5,5,5,4,No,The source explains career confusion more clearly and realistically.
Q060,ChatGPT,5,5,4,5,5,No,The ChatGPT response is simpler and easier to understand.
Q061,Mindler,5,5,5,5,4,No,The source provides a more complete explanation about career decisions.
Q062,ChatGPT,5,5,4,5,5,No,The ChatGPT response is short clear and directly understandable.
Q063,Mindler,5,5,5,5,4,No,The source explains online counseling support more effectively.
Q064,Mindler,5,5,5,5,4,No,The source clearly explains stress reduction through smaller goals.
Q065,ChatGPT,5,5,4,5,5,No,The ChatGPT response is concise and easy to understand.
Q066,Mindler,5,5,5,5,4,No,The source gives a more supportive explanation about rejection.
Q067,ChatGPT,5,5,4,5,5,No,The ChatGPT response is shorter and practically understandable.
Q068,Mindler,5,5,5,5,4,No,The source explains the effects of ignoring criticism more clearly.
Q069,Mindler,5,5,5,5,4,No,The source provides more detailed examples of support systems.
Q070,ChatGPT,5,5,4,5,5,No,The ChatGPT response is clear and emotionally supportive.
Q071,ChatGPT,5,5,4,5,5,No,The ChatGPT response is short motivational and understandable.
Q072,Mindler,5,5,5,5,4,No,The source explains social media pressure more effectively.
Q073,Mindler,5,5,5,5,4,No,The source gives clearer professional networking information.
