question_id,ideal_answer,must_include,must_not_include,human_support_needed
Q001,Career anxiety is persistent stress fear or worry related to professional life and future career.,Definition of career anxiety,Irrelevant information,No
Q002,Career anxiety affects individuals across different industries and career stages.,Affected individuals and career stages,Unrelated professions,No
Q003,Fear of failure includes fear of setbacks unmet goals and disappointing expectations.,Career goals setbacks expectations,Irrelevant emotional issues,No
Q004,Societal pressure peer comparison and fear of judgment increase career anxiety.,Societal pressure peer comparison judgment,False information,No
Q005,Technological and industrial changes create uncertainty about jobs and skills.,Technology job instability outdated skills,Unrelated technical details,No
Q006,Career transitions such as changing jobs or industries can create stress and uncertainty.,Job change industry shift education financial concerns,Irrelevant life events,No
Q007,Career anxiety may involve overthinking fear of job applications sleep problems and uncertainty about career paths.,Examples of anxiety symptoms,Irrelevant information,No
Q008,Layoffs economic changes and unstable industries increase uncertainty and career anxiety.,Economic instability layoffs,False information,No
Q009,People fear wrong career decisions because they believe one choice can affect their future permanently.,Wrong decisions future impact,Unrelated details,No
Q010,Comparing promotions and achievements with others creates pressure and anxiety.,Comparison pressure milestones,False comparisons,No
Q011,Burnout and chronic stress make career decisions emotionally overwhelming.,Burnout stress overwhelm,Irrelevant medical issues,No
Q012,Reflection support and structure can help turn career anxiety into useful guidance.,Reflection support planning,Negative advice,No
Q013,Career anxiety may be caused by new jobs workload pressure self doubt and workplace disagreements.,Causes of anxiety,Irrelevant information,No
Q014,Recognizing anxiety helps people become aware of emotional and mental changes.,Awareness mood focus energy,False claims,No
Q015,Understanding stress triggers helps people gain control and direction.,Stress triggers control direction,Unrelated mental disorders,No
Q016,Planning solutions learning skills and setting goals can reduce anxiety.,Planning goals skill development,Negative advice,No
Q017,Healthy routines rest and sleep improve focus mental stability and reduce stress.,Healthy habits sleep routines,Irrelevant health issues,No
Q018,Talking to trusted people provides reassurance support and perspective.,Support reassurance communication,False information,No
Q019,Breaks journaling goals and accepting imperfection help reduce anxiety.,Breaks journaling goals imperfection,Negative suggestions,No
Q020,Professional help is useful when anxiety affects work or personal life.,Professional guidance coping strategies,Unsafe advice,No
Q021,Believing career myths can increase anxiety about majors and future careers.,Career myths anxiety decisions,Irrelevant details,No
Q022,Students fear wrong choices because they think one decision will define their future permanently.,Wrong major future career,False information,No
