question_id,system_type,response,retrieved_chunk_ids,response_time_seconds
Q001,ChatGPT,Career anxiety is worry about your career and future goals.,Yes,2
Q002,ChatGPT,"Anyone can experience career anxiety, regardless of age or profession.",Yes,2
Q003,ChatGPT,It stems from concerns about making mistakes or falling short.,Yes,2
Q004,ChatGPT,Social pressure and expectations can make the fear stronger.,Yes,2
Q005,ChatGPT,They create uncertainty about future job requirements.,Yes,2
Q006,ChatGPT,"Choices about jobs, studies, or career changes can trigger anxiety.",Yes,2
Q007,ChatGPT,It may cause constant worry and indecision.,Yes,2
Q008,ChatGPT,Unstable situations make people feel less secure about the future.,Yes,2
Q009,ChatGPT,They fear the consequences of making the wrong choice.,Yes,2
Q010,ChatGPT,It can make people feel behind in their progress.,Yes,2
Q011,ChatGPT,Burnout can cloud judgment and make decisions harder.,Yes,2
Q012,ChatGPT,It can highlight areas that need attention or improvement.,Yes,2
Q013,ChatGPT,"Uncertainty, pressure, and self-doubt are common causes.",Yes,2
Q014,ChatGPT,Recognition is the first step toward managing it.,Yes,2
Q015,ChatGPT,It helps people address the real problem more effectively.,Yes,2
Q016,ChatGPT,A clear plan provides direction and reduces uncertainty.,Yes,2
Q017,ChatGPT,They improve resilience and help manage stress.,Yes,2
Q018,ChatGPT,Trusted people can offer support and fresh perspectives.,Yes,2
Q019,ChatGPT,Healthy routines and skill development can help.,Yes,2
Q020,ChatGPT,When anxiety starts affecting daily life or decisions.,Yes,2
Q021,ChatGPT,They create unrealistic expectations about success.,Yes,2
Q022,ChatGPT,They worry about investing in the wrong direction.,Yes,2
Q023,ChatGPT,Examples make career options easier to understand.,Yes,2
Q024,ChatGPT,They show that career success is not one fixed journey.,Yes,2
Q025,ChatGPT,They provide knowledge and guidance for decisions.,Yes,2
Q026,ChatGPT,High expectations can increase stress and worry.,Yes,2
Q027,ChatGPT,They fear mistakes may affect their reputation or growth.,Yes,2
Q028,ChatGPT,It can make people feel uncertain and overwhelmed.,Yes,2
Q029,ChatGPT,Confidence helps people trust their abilities.,Yes,2
Q030,ChatGPT,It improves coping skills and reduces pressure.,Yes,2
Q031,ChatGPT,They provide encouragement and practical advice.,Yes,2
Q032,ChatGPT,It reduces pressure to follow a single path.,Yes,2
Q033,ChatGPT,New skills increase adaptability and confidence.,Yes,2
Q034,ChatGPT,It helps maintain both mental and emotional health.,Yes,2
Q035,ChatGPT,It offers expert direction and support.,Yes,2
Q036,ChatGPT,It can lead to stress and emotional strain.,Yes,2
Q037,ChatGPT,Constant pressure can drain emotional energy.,Yes,2
Q038,ChatGPT,It creates worry about performance and outcomes.,Yes,2
Q039,ChatGPT,It causes concern about stability and security.,Yes,2
Q040,ChatGPT,Stress can disrupt sleep and reduce focus.,Yes,2
Q041,ChatGPT,It can lower self-esteem and increase pressure.,Yes,2
Q042,ChatGPT,They make achievements feel harder to reach.,Yes,2
Q043,ChatGPT,When anxiety becomes difficult to manage alone.,Yes,2
Q044,ChatGPT,Career anxiety is ongoing worry about work and future opportunities.,Yes,2
Q045,ChatGPT,It focuses specifically on career-related concerns.,Yes,2
Q046,ChatGPT,"It can affect work, emotions, and personal life.",Yes,2
Q047,ChatGPT,"It may appear as stress, doubt, or overthinking.",Yes,2
Q048,ChatGPT,It often results from unmet expectations or poor fit.,Yes,2
Q049,ChatGPT,It can reduce focus and efficiency.,Yes,2
Q050,ChatGPT,It may cause tension and communication problems.,Yes,2
Q051,ChatGPT,"Avoidance, procrastination, and excessive worry are common signs.",Yes,2
Q052,ChatGPT,"Job changes, promotions, and graduation can trigger it.",Yes,2
Q053,ChatGPT,They increase stress and reduce confidence.,Yes,2
Q054,ChatGPT,Heavy demands can make people feel overwhelmed.,Yes,2
Q055,ChatGPT,"They provide guidance, reassurance, and motivation.",Yes,2
Q056,ChatGPT,They may share advice and similar experiences.,Yes,2
Q057,ChatGPT,It encourages growth and problem-solving.,Yes,2
Q058,ChatGPT,They make progress feel more achievable.,Yes,2
Q059,ChatGPT,"No, many people discover their path over time.",Yes,2
Q060,ChatGPT,It can help you gain skills and experience.,Yes,2
Q061,ChatGPT,"Your interests, strengths, and goals.",Yes,2
Q062,ChatGPT,"Career counselors, mentors, or experienced professionals.",Yes,2
Q063,ChatGPT,Through online or in-person counseling services.,Yes,2
Q064,ChatGPT,Smaller steps make large goals less overwhelming.,Yes,2
Q065,ChatGPT,They build momentum and steady progress.,Yes,2
Q066,ChatGPT,View them as opportunities to learn and improve.,Yes,2
Q067,ChatGPT,It helps identify areas for improvement.,Yes,2
Q068,ChatGPT,It can provide valuable insights for growth.,Yes,2
Q069,ChatGPT,"Friends, family, mentors, and colleagues.",Yes,2
Q070,ChatGPT,It provides support and reduces feelings of isolation.,Yes,2
Q071,ChatGPT,It recognizes progress and boosts motivation.,Yes,2
Q072,ChatGPT,It can create pressure through constant comparison.,Yes,2
Q073,ChatGPT,It helps with networking and career opportunities.,Yes,2
